trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.6570468198150567}",25,0,-170.28167475968783,"{0: 18, 1: 2, 2: 0, 3: 1, 4: 4}",0
43,False,"{'a': 0.01, 'e': 0.6505090947233165}",20,0,-82.74649122303565,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.6440364210831414}",25,5,5.712361992653824,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.01, 'e': 0.6376281516217733}",30,6,-113.68049500152836,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 2}",1
46,False,"{'a': 0.01, 'e': 0.631283645506926}",20,0,-65.40105615276734,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
47,False,"{'a': 0.01, 'e': 0.6250022682827008}",20,6,-30.713549300450833,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
48,False,"{'a': 0.01, 'e': 0.6187833918061408}",25,0,-18.61247256104142,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
49,False,"{'a': 0.01, 'e': 0.6126263941844161}",20,0,-98.5443463329562,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
50,False,"{'a': 0.01, 'e': 0.6065306597126334}",20,0,-82.93756731831445,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
51,False,"{'a': 0.01, 'e': 0.6004955788122659}",20,0,8.618445795729626,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
52,False,"{'a': 0.01, 'e': 0.5945205479701944}",20,10,-36.414421199644416,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
53,False,"{'a': 0.01, 'e': 0.5886049696783552}",20,8,-44.58090690056216,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
54,False,"{'a': 0.01, 'e': 0.5827482523739896}",25,1,-95.17367217519437,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 2}",1
55,False,"{'a': 0.01, 'e': 0.5769498103804866}",20,7,-39.87426102425994,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
56,False,"{'a': 0.01, 'e': 0.5712090638488149}",25,13,-46.51853236110301,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 1}",1
57,False,"{'a': 0.01, 'e': 0.5655254386995371}",20,0,-36.25890227586848,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
58,False,"{'a': 0.01, 'e': 0.559898366565402}",30,21,4.251700214726776,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.01, 'e': 0.5543272847345071}",30,7,-10.35001757212083,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.01, 'e': 0.5488116360940265}",25,0,-85.01761934728835,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
61,False,"{'a': 0.01, 'e': 0.5433508690744998}",30,0,-75.25089744662979,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
62,False,"{'a': 0.01, 'e': 0.5379444375946745}",25,0,-19.86467147660747,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
63,False,"{'a': 0.01, 'e': 0.5325918010068972}",25,2,-45.12548562142826,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 1}",1
64,False,"{'a': 0.01, 'e': 0.5272924240430485}",20,0,-47.931313377605555,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
65,False,"{'a': 0.01, 'e': 0.522045776761016}",20,10,-76.88543823413625,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 2}",1
66,False,"{'a': 0.01, 'e': 0.5168513344916992}",25,18,-5.116284521733937,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.01, 'e': 0.5117085777865424}",25,9,-33.626629315914215,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 0}",1
68,False,"{'a': 0.01, 'e': 0.5066169923655895}",25,0,-78.65660559153417,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
69,False,"{'a': 0.01, 'e': 0.5015760690660555}",30,7,-99.96262155738842,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 2}",1
70,False,"{'a': 0.01, 'e': 0.49658530379140947}",20,0,-138.82405690402848,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
71,False,"{'a': 0.01, 'e': 0.4916441974609651}",25,12,-2.153216087638489,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
72,False,"{'a': 0.01, 'e': 0.4867522559599717}",25,17,-4.140112481674063,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.01, 'e': 0.48190899009020244}",20,0,-36.55662610904589,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
74,False,"{'a': 0.01, 'e': 0.4771139155210344}",20,9,-22.652248223718523,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
75,False,"{'a': 0.01, 'e': 0.4723665527410147}",20,0,-64.10105392256062,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
76,False,"{'a': 0.01, 'e': 0.46766642700990924}",20,0,-156.69149801946315,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 4}",0
77,False,"{'a': 0.01, 'e': 0.46301306831122807}",25,13,-26.518364148761407,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
78,False,"{'a': 0.01, 'e': 0.4584060113052235}",20,0,-4.450543632860063,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
79,False,"{'a': 0.01, 'e': 0.45384479528235583}",30,14,-36.486003725929116,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
80,False,"{'a': 0.01, 'e': 0.44932896411722156}",30,21,-67.77793708941536,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 2}",1
81,False,"{'a': 0.01, 'e': 0.4448580662229411}",20,6,-5.27130807168951,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
82,False,"{'a': 0.01, 'e': 0.44043165450599925}",25,0,-38.927717645753894,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
83,False,"{'a': 0.01, 'e': 0.43604928632153556}",25,10,-19.4009349166983,"{0: 13, 1: 0, 2: 0, 3: 2, 4: 0}",1
84,False,"{'a': 0.01, 'e': 0.43171052342907973}",20,0,13.304306560568492,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
85,False,"{'a': 0.01, 'e': 0.4274149319487267}",30,21,10.596458913184932,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.01, 'e': 0.4231620823177488}",20,0,-93.98932308278586,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
87,False,"{'a': 0.01, 'e': 0.418951549247639}",25,6,6.69277464665172,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
